referenceId,resolutionStatus,confidence,postingAuthor,authorProfileUrl,exactPostUrl,canonicalPostId,corpusStatus,recoveryNote
1,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_85-of-leaders-regretted-a-major-decision-activity-7471169532758355968-c7NH,LI-7471169532758355968,recovered,Canonical post and public outcomes are present in the normalized corpus.
2,resolved,high,Anup Karumanchi,https://www.linkedin.com/in/anupkarumanchi,https://www.linkedin.com/posts/anupkarumanchi_erp-in-manufacturing-is-more-than-a-back-office-activity-7470744054700589057-5b_x,LI-7470744054700589057,recovered,Canonical post and public outcomes are present in the normalized corpus.
3,resolved,high,Fatima Khan,https://www.linkedin.com/in/fatima-rasheed-khan,https://www.linkedin.com/posts/fatima-rasheed-khan_replitpartner-activity-7470414535900876800-6uJb,LI-7470414535900876800,recovered,Canonical post and public outcomes are present in the normalized corpus.
4,resolved,high,Nicolas Cole,https://www.linkedin.com/in/nicolascole,,,exact_url_unresolved,No exact permalink was available without guessing.
5,resolved,high,Tariq Zaman,https://www.linkedin.com/in/tariq-zaman-pak,,,exact_url_unresolved,No exact permalink was available without guessing.
6,unavailable,unresolved,,,,,source_unavailable,No exact permalink was available without guessing.
7,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/activity-7470082425780424705-jFD1,LI-7470082425780424705,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
8,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_90-of-companies-stall-before-they-can-scale-activity-7397257478574325761-hiVl,LI-7397257478574325761,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
9,resolved,high,Josh Sanders,https://www.linkedin.com/in/joshejsanders,https://www.linkedin.com/posts/joshejsanders_90-of-a-viral-linkedin-post-depends-on-1-activity-7468986861345087488-eGba,LI-7468986861345087488,recovered,Canonical post and public outcomes are present in the normalized corpus.
10,resolved,high,Mischa Collins,https://www.linkedin.com/in/mischa-collins,,,exact_url_unresolved,No exact permalink was available without guessing.
11,resolved,high,Charlie Hills,https://www.linkedin.com/in/charlie-hills,https://www.linkedin.com/posts/charlie-hills_claude-almost-runs-my-entire-content-system-activity-7468602533284974592-g74g,LI-7468602533284974592,recovered,Canonical post and public outcomes are present in the normalized corpus.
12,resolved,high,Diandra Escobar,https://www.linkedin.com/in/diandraescobar,https://www.linkedin.com/posts/diandraescobar_a-client-of-ours-pulled-824k-impressions-activity-7468279103163596800-WOb5,LI-7468279103163596800,recovered,Canonical post and public outcomes are present in the normalized corpus.
13,resolved,high,Sarah Hurzeler,https://www.linkedin.com/in/sarah-hurzeler,https://www.linkedin.com/posts/sarah-hurzeler_forecasts-dont-buy-inventory-plans-don-activity-7466137551251378176-XXE2,LI-7466137551251378176,recovered,Canonical post and public outcomes are present in the normalized corpus.
14,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_the-difference-between-a-10m-company-and-activity-7377658268292104192-nJ9r,LI-7377658268292104192,exact_url_not_recovered,Exact URL is known but the post Actor did not return the row; final retry was blocked by the account monthly usage hard limit.
15,resolved,high,Charlie Hills,https://www.linkedin.com/in/charlie-hills,,,exact_url_unresolved,No exact permalink was available without guessing.
16,resolved,high,Mischa Collins,https://www.linkedin.com/in/mischa-collins,https://www.linkedin.com/posts/mischa-collins_back-in-march-my-engagement-dropped-by-20-activity-7467168415565197313-7c7l,LI-7467168415565197313,recovered,Canonical post and public outcomes are present in the normalized corpus.
17,resolved,high,Charlie Hills,https://www.linkedin.com/in/charlie-hills,https://www.linkedin.com/posts/charlie-hills_zapierpartner-activity-7465341043337555968-dR1B,LI-7465341043337555968,recovered,Canonical post and public outcomes are present in the normalized corpus.
18,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_businesses-underperform-for-7-reasons-most-activity-7466821513392865280-h3ae,LI-7466821513392865280,recovered,Canonical post and public outcomes are present in the normalized corpus.
19,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/activity-7465008937407356928-TUDX,LI-7465008937407356928,recovered,Canonical post and public outcomes are present in the normalized corpus.
20,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/feed/update/urn:li:activity:7466778079034769408,LI-7466778079034769408,recovered,Canonical post and public outcomes are present in the normalized corpus.
21,resolved,high,Alex Vacca,https://www.linkedin.com/in/alex-vacca,https://www.linkedin.com/posts/alex-vacca_if-i-was-setting-up-linkedin-outbound-from-activity-7465701646250070016-gp7t,LI-7465701646250070016,recovered,Canonical post and public outcomes are present in the normalized corpus.
22,resolved,high,Asmaa Gad,https://www.linkedin.com/in/supplychainaipro,https://www.linkedin.com/posts/supplychainaipro_nobody-told-me-procurement-could-feel-this-activity-7465654357552824320-Vz0i,LI-7465654357552824320,recovered,Canonical post and public outcomes are present in the normalized corpus.
23,resolved,high,Will McTighe,https://www.linkedin.com/in/will-mctighe,https://www.linkedin.com/posts/will-mctighe_linkedin-isnt-too-crowded-starting-from-activity-7465748779611197440-ZIBR,LI-7465748779611197440,recovered,Canonical post and public outcomes are present in the normalized corpus.
24,resolved,high,Eric Partaker,https://www.linkedin.com/in/ericpartaker,https://www.linkedin.com/posts/ericpartaker_youve-heard-of-okrs-youve-tracked-kpis-activity-7465695889701990400-R6LQ,LI-7465695889701990400,recovered,Canonical post and public outcomes are present in the normalized corpus.
