"candidate_id","cohort","size_stratum","creator","profile_url","approx_followers","followers_as_of","selection_provenance","fit_reason","prior_outcome_exposure","confidence","stage0_status","verification_required"
"PLN-E1","planning_logistics","emerging_1k_20k","Knut Alicke","https://www.linkedin.com/in/knut-alicke","17700","2026-07-27","repository_benchmark","Operations research, planning models, and executive implications","repository_benchmark","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-E2","planning_logistics","emerging_1k_20k","Jonathon Karelse","https://www.linkedin.com/in/jonathonkarelse","6000","2026-07-27","public_profile_discovery","Forecasting diagnostics, KPI criticism, and practitioner judgment","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-E3","planning_logistics","emerging_1k_20k","Sig Copple","https://www.linkedin.com/in/sigcopple","1000","2026-07-27","public_profile_discovery","Planning, replenishment, and expediting decisions grounded in operating work","none_recorded","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-E4","planning_logistics","emerging_1k_20k","Niels Van Hove","https://www.linkedin.com/in/nielsvh","4000","2026-07-27","public_profile_discovery","Planner-centric forecasting, IBP, and decision-centric planning","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-X1","planning_logistics","established_20k_plus","Lora Cecere","https://www.linkedin.com/in/loracecere","349000","2026-07-27","repository_benchmark","Original supply-chain research and direct challenges to conventional systems","repository_benchmark","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-X2","planning_logistics","established_20k_plus","Daniel Stanton","https://www.linkedin.com/in/danielstanton","185000","2026-07-27","repository_benchmark","Technical supply-chain education with operational consequences","repository_benchmark","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-X3","planning_logistics","established_20k_plus","Sarah Barnes-Humphrey","https://www.linkedin.com/in/sarahbarneshumphrey","56000","2026-07-27","repository_benchmark","Practitioner interviews, current signals, and operating stories","repository_benchmark","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PLN-X4","planning_logistics","established_20k_plus","Eric Wilson","https://www.linkedin.com/in/wilsondemand","23000","2026-07-27","public_profile_discovery","Demand planning, forecasting, and S&OP practitioner education","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PRC-E1","purchasing_procurement","emerging_1k_20k","Philip Ideson","https://www.linkedin.com/in/philipideson","16000","2026-07-27","public_profile_discovery","Procurement transformation, operating models, and practitioner decisions","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PRC-E2","purchasing_procurement","emerging_1k_20k","Sammeli Sammalkorpi","https://www.linkedin.com/in/sammeli-sammalkorpi","7000","2026-07-27","public_profile_discovery","Procurement analytics, benchmarking, and operational explanation","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PRC-E3","purchasing_procurement","emerging_1k_20k","Sigi Osagie","https://www.linkedin.com/in/sigiosagie","2000","2026-07-27","public_profile_discovery","Procurement operating practice, leadership, and transformation","none_recorded","medium_low","provisional","Confirm identity, follower count, 20 eligible originals, domain share, and media retrieval"
"PRC-E4","purchasing_procurement","emerging_1k_20k","Dave Barr","https://www.linkedin.com/in/davidianscottbarr","3400","2026-07-27","public_profile_discovery","Small-account procurement practitioner perspective","none_recorded","medium_low","provisional","Confirm identity, follower count, cadence, original-post share, and media retrieval"
"PRC-X1","purchasing_procurement","established_20k_plus","Tom Mills","https://www.linkedin.com/in/tom-mills-procurement","138000","2026-07-27","public_profile_discovery","Procurement frameworks, reference assets, and practitioner skills","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PRC-X2","purchasing_procurement","established_20k_plus","Susan Walsh","https://www.linkedin.com/in/susanewalsh","44000","2026-07-27","public_profile_discovery","Spend and data classification taught through practical examples","none_recorded","medium","provisional","Confirm follower count, procurement share, 20 eligible originals, and media retrieval"
"PRC-X3","purchasing_procurement","established_20k_plus","Kelly Barner","https://www.linkedin.com/in/kelly-barner-6884443","35000","2026-07-27","public_profile_discovery","Research-led procurement interpretation and operational writing","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"PRC-X4","purchasing_procurement","established_20k_plus","Asmaa Gad","https://www.linkedin.com/in/supplychainaipro","24000","2026-07-27","repository_benchmark","Role-specific AI and procurement workflows and reference cards","repository_top100_exposure","high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-E1","implementation_adjacent","emerging_1k_20k","Sue Bayes","https://www.linkedin.com/in/suebayes","7000","2026-07-27","public_profile_discovery","Power BI and Excel implementation education","none_recorded","medium_high","provisional","Confirm follower count, 20 eligible originals, and public media retrieval"
"IMP-E2","implementation_adjacent","emerging_1k_20k","Sean Conerly","https://www.linkedin.com/in/sean-conerly-49063054","2000","2026-07-27","public_profile_discovery","AI systems explained through practical business architectures","none_recorded","medium","provisional","Confirm identity, follower count, 20 eligible originals, domain share, and media retrieval"
