week,slug,post_date,post_url,impressions,members_reached,reactions,comments,reposts,saves,profile_viewers,followers_gained,engagement_rate,save_rate,follower_conversion,composite_score,content_type,hook_type,caption_preview
2026-W24,unknown,2026-06-10,https://www.linkedin.com/feed/update/urn:li:activity:7470469573981515776/,40,0,1,0,0,0,1,0,2.5,0.0,0.0,1,unknown,unknown,"Why does every cost reduction programme start with a convers"
2026-W24,unknown,2026-06-09,https://www.linkedin.com/feed/update/urn:li:activity:7470120775623004160/,75,0,2,0,0,0,0,0,2.67,0.0,0.0,2,unknown,unknown,"Every procurement team has a process, although many never wr"
2026-W24,unknown,2026-06-08,https://www.linkedin.com/feed/update/urn:li:activity:7469706903196082176/,178,135,1,0,0,2,0,0,0.56,1.124,0.0,1,unknown,unknown,"Your supplier's price increase lands on your desk 48 hours b"
2026-W23,unknown,2026-06-02,https://www.linkedin.com/feed/update/urn:li:activity:7467587218128310272/,602,402,8,3,0,1,4,3,1.83,0.166,0.498,17,unknown,unknown,"A standard RFQ takes 2 to 3 days to write internally. With a"
2026-W23,unknown,2026-06-01,https://www.linkedin.com/feed/update/urn:li:activity:7467221672685654016/,313,206,5,0,0,0,1,0,1.6,0.0,0.0,5,unknown,unknown,"How does a list of 100 potential suppliers get down to the o"
2026-W22,unknown,2026-05-26,https://www.linkedin.com/feed/update/urn:li:activity:7465040047424331776/,347,154,6,0,0,0,0,0,1.73,0.0,0.0,6,unknown,unknown,"A PO is not a document. It is a legal commitment, a finance "
2026-W22,unknown,2026-05-25,https://www.linkedin.com/feed/update/urn:li:activity:7464702976905957377/,564,366,4,0,0,3,3,2,0.71,0.532,0.355,4,unknown,unknown,"Why does everyone know which supplier is underperforming but"
2026-W20,supply-chain-career-map,2026-05-15,https://www.linkedin.com/feed/update/urn:li:activity:7461085741503111168/,175045,120164,1175,71,88,411,319,335,0.76,0.235,0.191,1388,101,Question-Lead,"You can be 10 years deep into supply chain and still not kno"
2026-W20,unknown,2026-05-13,https://www.linkedin.com/feed/update/urn:li:activity:7460357442569191425/,1297,826,7,0,0,1,5,1,0.54,0.077,0.077,7,unknown,unknown,"You don't need 50 metrics, you need 10 that map to SCOR's 5 "
2026-W20,unknown,2026-05-11,https://www.linkedin.com/feed/update/urn:li:activity:7459631156838391808/,520,304,4,0,1,1,3,1,0.96,0.192,0.192,4,unknown,unknown,"Supply chain leaders who can't talk in O2C and P2P language "
2026-W19,unknown,2026-05-08,https://www.linkedin.com/feed/update/urn:li:activity:7458548271448391680/,326,182,2,0,1,0,0,0,0.92,0.0,0.0,2,unknown,unknown,"Why did some companies recover from 2020–2025 disruptions in"
2026-W19,unknown,2026-05-06,https://www.linkedin.com/feed/update/urn:li:activity:7457820979247902720/,278,187,1,0,1,0,0,2,0.72,0.0,0.719,1,unknown,unknown,"Single-sourcing gives you leverage through volume. Multi-sou"
2026-W19,unknown,2026-05-04,https://www.linkedin.com/feed/update/urn:li:activity:7457083867955621888/,522,350,9,0,0,2,1,0,1.72,0.383,0.0,9,unknown,unknown,"Just-in-Time was the greatest supply chain innovation of the"
2026-W18,unknown,2026-05-01,https://www.linkedin.com/feed/update/urn:li:activity:7455995198607839232/,267,184,3,0,1,0,0,0,1.5,0.0,0.0,3,unknown,unknown,"Offshoring saves money on labour. Nearshoring saves money on"
2026-W18,unknown,2026-04-29,https://www.linkedin.com/feed/update/urn:li:activity:7455272436180205568/,431,316,2,0,0,0,0,1,0.46,0.0,0.232,2,unknown,unknown,"The answer to a bad forecast isn't a better forecast. It's r"
2026-W18,1pl-to-5pl,2026-04-27,https://www.linkedin.com/feed/update/urn:li:activity:7454544388887609344/,12520,9210,36,0,6,11,13,7,0.34,0.088,0.056,36,101,unknown,"A 1PL owns every truck and every warehouse whereas a 5PL own"
2026-W16,safety-stock,2026-04-18,https://www.linkedin.com/feed/update/urn:li:activity:7450922775105495041/,6295,4411,42,5,6,18,16,35,0.84,0.286,0.556,57,101,unknown,"Safety stock exists because the future is uncertain. But mos"
2026-W16,unknown,2026-04-15,https://www.linkedin.com/feed/update/urn:li:activity:7450197244596862976/,350,243,4,0,0,1,2,0,1.14,0.286,0.0,4,unknown,unknown,"A 5% increase in consumer demand can become a 40% spike at t"
2026-W16,unknown,2026-04-14,https://www.linkedin.com/feed/update/urn:li:activity:7449829567516557312/,351,258,6,0,1,1,1,1,1.99,0.285,0.285,6,unknown,unknown,"Why does the team buying raw materials for your product repo"
2026-W16,unknown,2026-04-13,https://www.linkedin.com/feed/update/urn:li:activity:7449474230271836160/,485,325,8,0,1,1,0,0,1.86,0.206,0.0,8,unknown,unknown,"How do you buy a car?  • Procurement is the months of resear"
2026-W15,unknown,2026-04-10,https://www.linkedin.com/feed/update/urn:li:activity:7448381026893983744/,1300,932,15,0,1,5,6,10,1.23,0.385,0.769,15,unknown,unknown,"There are over 250 supply chain metrics in common use. SCOR "
2026-W15,unknown,2026-04-08,https://www.linkedin.com/feed/update/urn:li:activity:7447660277678002177/,3444,2609,24,4,3,2,5,11,0.9,0.058,0.319,36,unknown,unknown,"How does a car manufacturer decide to build 50,000 vehicles "
2026-W15,unknown,2026-04-06,https://www.linkedin.com/feed/update/urn:li:activity:7446935501976064002/,312,196,5,0,0,0,1,1,1.6,0.0,0.321,5,unknown,unknown,"Why does IKEA build millions of bookshelves before anyone or"
2026-W14,unknown,2026-03-31,https://www.linkedin.com/feed/update/urn:li:activity:7444759033854652419/,737,474,10,1,0,3,2,0,1.49,0.407,0.0,13,unknown,unknown,"Sales says we'll sell 10,000 units. Operations says we can m"
2026-W14,strategic-vs-tactical-vs-operational-planning,2026-03-30,https://www.linkedin.com/feed/update/urn:li:activity:7444395247545057280/,28054,20628,141,11,6,65,28,42,0.56,0.232,0.15,174,101,unknown,"When strategic decisions get made with operational urgency, "
2026-W13,unknown,2026-03-27,https://www.linkedin.com/feed/update/urn:li:activity:7443339949006868481/,255,143,4,0,0,0,0,1,1.57,0.0,0.392,4,unknown,unknown,"Every supply chain professional you probably talk to about A"
2026-W13,unknown,2026-03-26,https://www.linkedin.com/feed/update/urn:li:activity:7442640583359221760/,523,328,9,4,0,2,4,0,2.49,0.382,0.0,21,unknown,unknown,"Every time a delivery gets missed where I work, the first qu"
2026-W13,unknown,2026-03-23,https://www.linkedin.com/feed/update/urn:li:activity:7441926270415892480/,380,224,5,0,0,0,8,0,1.32,0.0,0.0,5,unknown,unknown,"In under 2 seconds, 22 humans execute 80 coordinated actions"
2026-W12,unknown,2026-03-20,https://www.linkedin.com/feed/update/urn:li:activity:7440818644235890688/,271,157,11,0,0,1,2,0,4.06,0.369,0.0,11,unknown,unknown,"Roughly 60% of a typical planner's week is pattern detection"
2026-W12,unknown,2026-03-18,https://www.linkedin.com/feed/update/urn:li:activity:7440063470382931968/,991,686,21,0,1,0,2,0,2.22,0.0,0.0,21,unknown,unknown,"Logistics moves it. Supply chain decides whether it should b"
2026-W12,unknown,2026-03-16,https://www.linkedin.com/feed/update/urn:li:activity:7439340292522119169/,4456,3455,4,2,0,1,7,0,0.13,0.022,0.0,10,unknown,unknown,"This is what took the U.S from their shores to the Battlefro"
2026-W11,unknown,2026-03-13,https://www.linkedin.com/feed/update/urn:li:share:7438223424088461312,1368,976,10,0,2,1,2,2,0.88,0.073,0.146,10,unknown,unknown,"Most supply chain leaders tracking Hormuz are watching oil p"
2026-W11,what-is-a-supply-chain,2026-03-11,https://www.linkedin.com/feed/update/urn:li:share:7437542693171396608,666,428,12,0,0,1,0,8,1.8,0.15,1.201,12,101,Stat-Lead,"6 links. 1 product. If any single one fails, it does not arr"
2026-W11,red-bull-post,2026-03-09,https://www.linkedin.com/feed/update/urn:li:share:7436809796080562176,7108,5083,46,0,1,9,23,5,0.66,0.127,0.07,46,deep-dive,Question-Why,"Why does the world's most recognised energy drink not own a "
2026-W10,unknown,2026-03-06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7435606262056361984,550,384,3,0,0,0,2,0,0.55,0.0,0.0,3,unknown,unknown,"The wrong assumption is not that tariffs are expensive. It i"
2026-W10,unknown,2026-03-04,https://www.linkedin.com/feed/update/urn:li:share:7433624509422657536,422,296,6,2,0,1,0,0,1.9,0.237,0.0,12,unknown,unknown,"96% of dry cargo containers.  100% of refrigerated ones.  Al"
2026-W10,unknown,2026-03-02,https://www.linkedin.com/feed/update/urn:li:share:7434332528561295360,724,471,12,5,0,0,8,0,2.35,0.0,0.0,27,unknown,unknown,"February 28, 2026: US-Israeli strikes on Iran.  March 1: ins"
2026-W09,dabbawalas-post,2026-03-01,https://www.linkedin.com/feed/update/urn:li:share:7433889769698344960,615,385,11,3,1,1,3,2,2.44,0.163,0.325,20,deep-dive,Stat-Lead,"1 error in every 16 million deliveries ≈ 99.999999% accuracy"
2026-W09,nike-post,2026-02-27,https://www.linkedin.com/feed/update/urn:li:share:7433165077865721856,977,643,10,0,0,0,4,1,1.02,0.0,0.102,10,deep-dive,unknown,"Why would a $100B+ company bring a CEO out of retirement to "
2026-W09,feb25-post,2026-02-25,https://www.linkedin.com/feed/update/urn:li:ugcPost:7431301006409330688,580,402,9,0,0,1,2,1,1.55,0.172,0.172,9,deep-dive,unknown,"Most supply chain leaders are so focused on what they need t"
2026-W09,zara-post,2026-02-23,https://www.linkedin.com/feed/update/urn:li:share:7431614666331549696,811,522,14,3,0,1,1,2,2.1,0.123,0.247,23,deep-dive,Question-How,"How do you get a customer to visit your store 17 times a yea"
2026-W08,maersk-post,2026-02-20,https://www.linkedin.com/feed/update/urn:li:share:7430619872558174208,56940,38224,377,36,28,62,195,114,0.77,0.109,0.2,485,deep-dive,Question-Why,"Why is the world's second-largest shipping company buying wa"
2026-W08,intro-post-feb18,2026-02-18,https://www.linkedin.com/feed/update/urn:li:ugcPost:7429930052156362753,1114,643,39,0,0,2,13,1,3.5,0.18,0.09,39,other,Personal-Reflection,"I've spent some years working in supply chain. You get reall"
2025-W41,career-update-oct25,2025-10-06,https://www.linkedin.com/feed/update/urn:li:ugcPost:7380879132487933953,1689,799,93,18,0,0,24,0,6.57,0.0,0.0,147,career-announcement,unknown,"I'm happy to share that I'm starting a new position as Reple"
2024-W20,career-update-may24,2024-05-15,https://www.linkedin.com/feed/update/urn:li:ugcPost:7196572915050414081,2378,0,98,16,0,0,14,0,4.79,0.0,0.0,146,career-announcement,unknown,"I'm happy to share that I'm starting a new position as Team "
