id,source_short,category,rigor,practitioner_usefulness,breadth_global_focus,timeliness,accessibility_overall,accessibility_label,website,tier,claude_readable,scout_routing,best_for_infographic,commentary
1,Gartner – Supply Chain Practice,Research/advisory & consulting,4,4,5,4,2,Mostly Paywalled,https://www.gartner.com,1,No (PDF required),Strategic analysis — vendor benchmarks,Vendor landscapes / maturity benchmarks / technology evaluations,Benchmark-oriented C-suite narratives on supply-chain maturity and technology. Provide PDFs or Gartner-sponsored reprints for Claude to use.
2,McKinsey – Manufacturing & Supply Chain,Research/advisory & consulting,4,5,4,4,3,Mostly Open,https://www.mckinsey.com,1,Yes,Strategic analysis — transformation stories,Supply-chain transformations / end-to-end redesign / control-tower use cases / resilience plays,Case-driven board-friendly narratives. Most articles freely accessible — Claude can read and synthesize directly.
3,BCG – Supply Chain Management,Research/advisory & consulting,4,4,4,4,3,Mostly Open,https://www.bcg.com,1,Yes,Strategic analysis — resilience & cost,Strategy-level levers for resilience / cost / sustainability / AI-driven operations,Framing how-to-think-about supply-chain strategy. Almost all thought-leadership is open.
4,Deloitte – Supply Chain & Network Operations,Research/advisory & consulting,3,5,4,4,3,Mostly Open,https://www2.deloitte.com,2,Yes,Strategic analysis — network operations,Digital networks / supply-chain-planning platforms / smart factory integrations,Practical how-to-run-the-network guidance and case-based playbooks. Deloitte PDFs largely open.
5,MIT Center for Transportation & Logistics (MIT CTL),Academic / research center,5,4,5,4,3,Partial / Freemium,https://scale.mit.edu,1,Partial (open working papers),Academic evidence — resilience & risk,Supply-chain resilience / risk / sustainability / freight / urban logistics,Research-backed rigorous model-based insights. Partner-only content hidden — use open working papers.
6,Penn State – Center for Supply Chain Research (CSCR),Academic / research center,4,4,4,4,3,Partial / Freemium,https://www.smeal.psu.edu,1,Partial (public only),Academic evidence — planning & performance,Evidence-heavy industry-integrated research on planning / risk / performance,Neutral evidence-based perspectives to sanity-check consultancy claims. Use only publicly visible content.
7,Zaragoza Logistics Center (ZLC),Academic / research center,4,4,4,4,3,Partial / Freemium,https://www.zlc.edu.es,1,Partial (open deliverables),Academic evidence — EU resilience,EU-centric research on digitalisation / resilience / sustainability / public-policy logistics,European-regulation sustainability and urban-logistics angles. Use open project pages and deliverables.
8,CSCMP – Council of Supply Chain Management Professionals,Association / institute,3,5,4,4,3,Partial / Freemium,https://www.cscmp.org,2,Partial (most public),Community surveys — practitioner trends,End-to-end supply-chain performance surveys / sustainability / talent,Large-sample surveys and practitioner summaries. Some member-only reports gated.
9,ASCM / APICS – Association for Supply Chain Management,Association / institute,3,5,4,4,3,Partial / Freemium,https://www.ascm.org,2,Partial (most public),Framework standards — SCOR / process,Process-oriented standards / SCOR framework / certification body-of-knowledge,Standardized frameworks and process models. Deeper certification materials membership-only.
10,ISM – Institute for Supply Management,Association / institute,3,4,4,5,3,Partial / Freemium,https://www.ismworld.org,2,Partial (PMI summaries),Real-time signals — PMI indices,Procurement-centric research / PMI indices / macro-economic supply management pulse,Macro-economic indicators (PMIs) and procurement-centric trends. PMI summaries public.
