engagement_id,record_id,metric_name,metric_value,denominator_name,denominator_value,normalized_value,collection_timestamp,provenance_ids,comparability_note
EN-000001,LI-7429790301550153728,public_interactions,109,creator_median_public_interactions,22,4.954545454545454,2026-08-02T18:05:05.577Z,PV-00915,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000002,LI-7429913325548777472,public_interactions,20,creator_median_public_interactions,56,0.35714285714285715,2026-08-02T18:05:05.577Z,PV-00772,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000003,LI-7429928219358736385,public_interactions,30,creator_median_public_interactions,28,1.0714285714285714,2026-08-02T18:05:05.577Z,PV-00634,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000004,LI-7429930054463397888,impressions,1125,,,,2026-08-02T17:53:48.740Z,PV-00955,Raw observation; no valid denominator available.
EN-000005,LI-7429930054463397888,reactions,39,impressions,1125,0.034666666666666665,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000006,LI-7429930054463397888,comments,0,impressions,1125,0,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000007,LI-7429930054463397888,reposts,0,impressions,1125,0,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000008,LI-7429930054463397888,saves,2,impressions,1125,0.0017777777777777779,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000009,LI-7429930054463397888,sends,1,impressions,1125,0.0008888888888888889,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000010,LI-7429930054463397888,profile_viewers_from_post,13,impressions,1125,0.011555555555555555,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000011,LI-7429930054463397888,followers_gained,1,impressions,1125,0.0008888888888888889,2026-08-02T17:53:48.740Z,PV-00955,Within-post rate; compare only at similar maturity and audience conditions.
EN-000012,LI-7429930054463397888,public_interactions,39,creator_median_public_interactions,,,2026-08-02T17:53:48.740Z,PV-00955,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000013,LI-7430215846729388032,public_interactions,90,creator_median_public_interactions,28,3.2142857142857144,2026-08-02T18:05:05.577Z,PV-00635,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000014,LI-7430262925153591296,public_interactions,36,creator_median_public_interactions,56,0.6428571428571429,2026-08-02T18:05:05.577Z,PV-00773,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000015,LI-7430264942626467840,public_interactions,39,creator_median_public_interactions,22,1.7727272727272727,2026-08-02T18:05:05.577Z,PV-00916,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000016,LI-7430319331068059648,public_interactions,167,creator_median_public_interactions,451.5,0.3698781838316722,2026-08-02T18:05:05.577Z,PV-00796,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000017,LI-7430619873980043265,impressions,57087,,,,2026-08-02T17:53:49.513Z,PV-00956,Raw observation; no valid denominator available.
EN-000018,LI-7430619873980043265,reactions,377,impressions,57087,0.006603955366370627,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000019,LI-7430619873980043265,comments,36,impressions,57087,0.0006306164275579379,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000020,LI-7430619873980043265,reposts,28,impressions,57087,0.0004904794436561739,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000021,LI-7430619873980043265,saves,62,impressions,57087,0.0010860616252386709,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000022,LI-7430619873980043265,sends,27,impressions,57087,0.00047296232066845344,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000023,LI-7430619873980043265,profile_viewers_from_post,195,impressions,57087,0.003415838982605497,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000024,LI-7430619873980043265,followers_gained,115,impressions,57087,0.002014469143587857,2026-08-02T17:53:49.513Z,PV-00956,Within-post rate; compare only at similar maturity and audience conditions.
EN-000025,LI-7430619873980043265,public_interactions,441,creator_median_public_interactions,,,2026-08-02T17:53:49.513Z,PV-00956,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
EN-000026,LI-7431677458656944128,impressions,816,,,,2026-08-02T17:53:50.339Z,PV-00957,Raw observation; no valid denominator available.
EN-000027,LI-7431677458656944128,reactions,14,impressions,816,0.01715686274509804,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000028,LI-7431677458656944128,comments,3,impressions,816,0.003676470588235294,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000029,LI-7431677458656944128,reposts,0,impressions,816,0,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000030,LI-7431677458656944128,saves,1,impressions,816,0.0012254901960784314,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000031,LI-7431677458656944128,sends,0,impressions,816,0,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000032,LI-7431677458656944128,profile_viewers_from_post,1,impressions,816,0.0012254901960784314,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000033,LI-7431677458656944128,followers_gained,2,impressions,816,0.0024509803921568627,2026-08-02T17:53:50.339Z,PV-00957,Within-post rate; compare only at similar maturity and audience conditions.
EN-000034,LI-7431677458656944128,public_interactions,17,creator_median_public_interactions,,,2026-08-02T17:53:50.339Z,PV-00957,"Creator-relative public-interaction ratio from Stage 0; not reach, saves, or impression rate."
