mechanicId,trackAStatus,trackBStatus,nearPeerStatus,classification,productionTreatment,limitation
hook:H1,heuristic_peer_signal,not_observed,heuristic_positive,peer_heuristic_signal,consider_one_variable_peer_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H3,not_observed,heuristic_top100_signal,not_observed,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H4,not_observed,heuristic_top100_signal,heuristic_positive,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H6,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H7,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H8,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
hook:H9,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J1,not_observed,heuristic_top100_signal,not_observed,top100_heuristic_signal,inspiration_or_one_variable_test,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J2,not_observed,not_observed,not_observed,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
job:J3,not_observed,not_observed,heuristic_positive,unresolved,do_not_standardize,"Exploratory automated observable-feature screen after a failed reliability gate; observational public interactions; no reach, saves, or causal attribution."
