record_id,field,automated_value,manual_value,manual_evidence,confidence,reviewed_at
LI-7461085741503111168,target_audience,planners and planning managers,"early- and mid-career supply-chain practitioners across functions","Caption addresses people choosing among six supply-chain career paths; visual is a branching career map.",high,2026-08-02
LI-7461085741503111168,hook_type,plain premise/announcement,identity-gap question,"The opening names tenure and unresolved career identity in one question.",high,2026-08-02
LI-7461085741503111168,visual_structure,decision tree or branching path,"six-lane branching career map","Lightbox showed entry-level roles branching into procurement, planning/S&OP, logistics, manufacturing, analytics/digital, and strategy/consulting destinations.",high,2026-08-02
LI-7461085741503111168,proof_type,no proof,"series synthesis plus visible practitioner corroboration","Caption synthesizes 23 prior Supply Chain 101 concepts; a visible senior practitioner comment added detailed cross-functional career guidance. This is resonance evidence, not causal proof.",medium,2026-08-02
LI-7430619873980043265,hook_type,correction/distinction,"named-company curiosity and strategic inversion","The hook asks why Maersk is buying warehouses rather than ships.",high,2026-08-02
LI-7430619873980043265,visual_structure,reference or cheat sheet,"before/after operating-model comparison plus ecosystem flow","Lightbox showed ocean-centric versus integrated logistics, acquisition/digitization pivots, and a factory-to-door journey.",high,2026-08-02
LI-7430619873980043265,proof_type,named real-world case,"named acquisitions, operating metrics, and cited sources","Caption names LF Logistics and Pilot acquisitions and points to sources; source validity was not re-audited here.",medium,2026-08-02
LI-7444395247545057280,problem_family,"career, leadership, communication, or people","planning and forecasting","The post distinguishes strategic, tactical, and operational planning.",high,2026-08-02
LI-7444395247545057280,hook_type,timely change/news,"consequence-first decision-boundary contrast","The opening contrasts warehouses built unnecessarily with customer orders delayed by the wrong planning cadence.",high,2026-08-02
LI-7452733456163311616,job_to_be_done,,"segment SKUs by value and predictability to choose planning treatment","Caption explains why revenue-only Pareto segmentation is insufficient and adds demand predictability.",high,2026-08-02
LI-7450922775105495041,job_to_be_done,,"set safety stock using uncertainty rather than averages alone","Caption exposes the mismatch between uncertainty protection and average-based assumptions.",high,2026-08-02
LI-7481374428807708672,hook_type,,"repeated tool-versus-AI formula","Opening uses 'Excel can..., but ChatGPT can...' and received 68 impressions in the captured page analytics.",high,2026-08-02
LI-7481010027776921600,hook_type,,"repeated tool-versus-AI formula","Opening uses 'Power BI can..., but Claude can...' and received 103 impressions in the captured page analytics.",high,2026-08-02

